"Fuel and Month Wise Data for Karnataka (2016-2018)"\n\nFuel,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CNG ONLY,0,2,2,4,0,1,0,2,1,0,0,1,2,0,2,4,0,6,1,1,2,2,2,2,1,2,1,0,5,1,2,3,5,1,3,2,63
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,26001,21723,24649,18174,22188,22383,18360,22185,19352,20889,18942,14559,20855,19565,25327,19193,18355,19366,16373,17857,17719,16585,18352,13737,22831,19707,21545,21353,18781,20016,21105,18580,19699,18835,19285,15609,710035
DIESEL/HYBRID,6,14,13,31,28,37,39,38,40,70,24,40,41,31,34,22,37,51,5,5,14,21,19,18,33,36,24,34,99,71,120,159,195,181,227,169,2026
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),73,43,59,40,30,37,35,58,33,57,97,25,63,52,85,66,71,44,32,45,38,84,63,62,57,96,70,155,220,238,176,228,335,200,319,162,3548
ETHANOL(E100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,6,0,0,4,0,0,0,0,0,0,0,0,24
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
