"Fuel and Month Wise Data for All State (2016-2018)"\n\nFuel,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CNG ONLY,2916,2666,3011,3064,3526,2980,2770,2363,2469,2347,2088,1404,1902,2166,2847,2074,2123,2610,2301,1777,1991,2565,2542,2053,2921,2598,2658,2889,2649,2404,2357,2360,2596,3022,2720,2803,90532
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,259113,255060,262763,227152,248199,250689,227201,227310,224143,261590,253134,215002,232599,230930,337702,239756,225670,242453,248326,234625,245473,253342,291539,250108,297605,274596,313662,286887,283430,269590,291955,265229,253207,280073,278021,273877,9312011
DIESEL/HYBRID,238,415,667,879,810,794,1065,1317,1144,1654,983,1456,2231,2822,4230,3739,4541,5159,4569,3473,3761,4753,5317,3909,5564,4867,5522,5032,5332,4807,4887,4804,4405,4640,4786,5148,119720
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,2,3,4,0,0,0,0,3,0,1,2,0,0,1,2,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,2,1,30
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),1946,2494,4517,3446,4007,5117,4365,4014,4167,6322,4893,4501,4570,4394,5970,5005,7016,7458,8988,9084,7687,7659,10059,9120,8981,7382,7735,7374,8356,8892,11492,11864,13711,15101,14223,15994,267904
ETHANOL(E100),0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,6,11,6,0,1,5,0,1,1,1,0,1,0,1,42
FLEX-FUEL(BIO-DIESEL),0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LNG,2,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,1,0,1,1,0,1,0,1,0,0,15
LPG ONLY,350,482,953,362,479,271,159,243,143,174,200,154,153,186,133,122,172,232,540,658,537,213,423,454,227,265,330,484,379,283,222,446,393,372,267,397,11858
