"Fuel and Month Wise Data for West Bengal (2019-2021)"\n\nFuel,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,0,0,0,0,0,0,0,0,20,0,0,0,0,0,6,0,0,2,14,8,19,1,7,1,7,31,31,9,56,13,23,21,15,8,7,10,309
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,10612,9100,9839,8078,7450,7747,8829,6929,8574,4865,8517,6982,7388,9334,11403,1645,72,2224,3605,4499,6547,5016,5576,7366,5561,5949,6744,4490,2310,4238,5324,5283,5437,3451,5189,5634,221807
DIESEL/HYBRID,170,136,93,106,56,39,33,24,14,10,21,11,12,9,10,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,757
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),915,797,1039,578,368,1137,795,784,2630,1196,1891,1403,937,1572,1752,374,74,333,631,492,899,1176,1001,838,927,859,598,289,209,208,574,858,662,317,455,450,30018
ETHANOL(E100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,324,555,552,634,227,199,214,198,205,48,236,263,142,262,176,33,0,43,202,170,273,380,247,479,317,467,534,414,159,45,250,119,92,100,387,267,9213
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,48,52,40,27,33,23,27,22,52,42,55,38,97,55,21,5,1,5,14,4,15,16,12,27,32,12,14,4,0,5,11,11,10,14,28,51,923
PETROL,122652,80898,85569,77893,72138,75004,107215,89846,98196,54532,104300,81857,74842,99144,158707,36700,900,37702,72144,71314,111924,91858,94738,120711,79474,76995,88414,72382,32155,72597,83967,71169,73201,59311,86778,80660,2897887
PETROL(E20),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
PETROL(E20)/CNG,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,9
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/HYBRID/CNG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
PETROL(E20)/LPG,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,4
PETROL/CNG,25,42,14,12,27,10,16,18,25,11,43,190,76,34,81,1,0,12,37,25,39,36,23,25,99,77,33,33,36,44,52,85,64,46,81,85,1557
PETROL/HYBRID,353,227,176,238,160,175,185,172,229,163,257,124,226,128,257,15,1,187,250,260,442,401,353,462,424,391,491,330,164,246,453,467,553,496,448,449,10353
PETROL/HYBRID/CNG,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,0,0,0,1,3,1,3,1,2,0,23
PETROL/LPG,854,944,840,1025,748,548,562,351,386,230,487,531,443,597,626,106,9,96,237,204,431,313,227,207,294,297,367,182,75,117,149,165,152,124,167,175,13266
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURE EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,135953,92752,98164,88593,81209,84882,117877,98345,110332,61098,115807,91399,84163,111135,173039,38883,1058,40604,77134,76976,120600,99198,102184,130119,87139,85079,97226,78136,35164,77514,90809,78179,80189,63868,93543,87781,3186131
