"Fuel and Month Wise Data for Uttar Pradesh (2022-2024)"\n\nFuel,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,4539,3405,4128,4334,3261,3436,3518,3592,3242,4611,4932,4248,5122,4319,4783,4436,4624,4559,4940,5508,4707,4730,5134,4835,5135,4349,4560,4074,4754,4305,4573,4604,4266,6170,6303,4191,162227
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,24936,20704,24591,22882,21776,22027,22926,20160,18639,22213,23814,22864,27936,24004,27139,23910,25409,28126,22580,21157,21244,20070,23322,24297,30253,27106,27544,25522,24968,23220,24588,22869,22130,27051,24581,23925,860483
DIESEL/HYBRID,0,1,0,0,1,1,7,5,3,5,8,10,8,3,6,5,4,10,12,3,12,4,16,16,24,10,24,25,34,27,20,12,15,23,30,17,401
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),9827,8594,10996,11823,11716,12457,14385,16426,16543,16867,19537,13708,16799,16502,22211,19732,22247,21392,23866,26402,26376,25292,27174,30305,28033,26026,29514,21398,25475,23052,26693,25687,23736,26600,25283,21199,743873
ETHANOL(E100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
