"Fuel and Month Wise Data for AN, AP, AR, AS, BR, CH, CG, DL, GA, GJ, HR, HP, JK, JH, KA, KL, LA, LD, MP, MH, MN, ML, MZ, NL, OR, PY, PB, RJ, SK, TN, TG, TR, DD, UP, UK, WB (2016-2018)"\n\nFuel,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,4
PETROL(E20)/LPG,0,0,3,0,1,0,1,0,0,0,1,1,1,2,0,0,2,1,2,1,4,0,0,2,1,0,0,2,1,3,1,1,2,0,0,2,35
PETROL/CNG,28359,28285,29200,32383,31249,30507,28536,28076,28030,34240,25000,21556,30314,26655,29644,22990,24184,25029,24147,26253,31872,37900,41592,35608,45867,41369,41936,41447,40887,37834,38401,37314,35416,38556,39944,37063,1177643
PETROL/HYBRID,28,27,27,36,70,81,49,37,45,51,32,54,43,62,101,108,98,146,44,39,45,40,26,24,47,48,75,86,66,90,56,250,1683,2436,2789,4267,13206
PETROL/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,7,10,15,33,68
PETROL/LPG,8005,7875,8276,7156,7212,7961,7357,8590,8738,8978,8451,5572,7209,7788,9183,6728,7075,8147,7668,8292,8492,9684,10584,7764,9707,10684,11295,10911,11459,11496,12678,11958,12126,11949,11086,9661,327795
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURE EV,0,0,0,2,0,0,0,2,1,0,2,1,0,1,0,17,24,34,40,59,39,1,0,0,0,0,0,1,1,1,0,0,1,0,2,3,232
SOLAR,16,14,28,20,17,14,21,15,14,26,35,10,16,15,22,13,8,10,5,12,15,6,8,7,14,6,2,6,3,3,4,6,5,2,4,8,430
STRONG HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,1807151,1824544,1842913,1806299,1933000,1902832,1769488,1732155,1706011,2072281,2223764,1616984,1712753,1735861,2354206,2018701,2099364,2025284,1902288,1812984,1864583,2350961,2562191,1868598,2192986,1990245,2290393,2226110,2410971,2196230,2229168,2050026,2015865,2107276,2515721,2284271,73054458
