"Fuel and Month Wise Data for Gujarat (2022-2024)"\n\nFuel,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,3447,3701,4152,3635,2627,2685,3230,3697,4619,6179,6984,5200,5122,5755,5831,5189,5673,6568,6431,6624,8387,8678,6995,5190,7101,6322,5922,5691,6788,6608,7385,8435,7409,14514,7447,5284,215505
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,10782,10977,13846,13995,11716,13659,14361,12808,19585,26199,23326,16624,16416,16910,15670,14602,13260,15976,36589,27029,20095,27502,21223,18908,29095,22909,17381,16425,15718,14661,18786,15857,16015,27586,23032,33833,683356
DIESEL/HYBRID,0,0,1,0,0,11,10,13,15,9,29,21,30,22,16,20,31,17,16,18,45,95,45,85,80,59,90,89,60,39,53,44,68,106,77,82,1396
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),2384,2836,4876,6977,4671,5764,6053,5567,5774,6933,8805,8354,6387,7156,8680,9138,10562,4988,6299,6627,8175,9351,6283,4970,6289,5961,9783,4610,4661,3440,4359,2673,1978,3229,1575,1446,207614
ETHANOL(E100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
