"Fuel and Month Wise Data for Uttarakhand (2022-2024)"\n\nFuel,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,98,107,122,144,108,124,89,138,87,109,101,108,297,325,405,447,305,168,118,122,115,112,105,90,118,103,90,93,96,99,98,78,75,171,162,164,5291
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,1711,1656,1738,1628,1694,1723,1710,1505,1434,1755,2043,1518,1765,1616,1858,1917,2097,1947,1731,1721,1722,1686,1872,2086,1965,2144,1978,2083,2371,1753,1970,1518,1612,2010,2190,1499,65226
DIESEL/HYBRID,0,0,0,0,0,1,0,2,0,2,1,1,0,1,1,0,0,2,0,1,2,2,3,0,3,4,3,1,0,2,10,6,1,5,5,1,60
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),660,729,1037,1394,1108,1408,1402,1385,1321,1665,1881,1570,1098,1145,1390,1322,1683,1480,1423,1475,1248,1290,1657,1589,1236,1450,1388,1122,1602,1304,1420,1125,1288,1269,1343,829,47736
ETHANOL(E100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
