"Fuel and Month Wise Data for Andhra Pradesh (2022-2024)"\n\nFuel,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,299,284,399,291,359,263,319,547,752,931,772,703,676,665,832,690,879,1075,1070,1255,1014,1513,1153,889,662,589,737,540,666,681,831,670,707,1305,1478,839,27335
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,7501,8060,8512,7781,8767,9474,8416,9536,10546,8296,8453,10260,10550,10064,11207,8689,9990,9904,10046,10462,9218,11451,9986,8318,7983,7787,9338,7437,7250,7981,9690,7579,7614,10622,10971,7950,327689
DIESEL/HYBRID,1,0,0,0,0,1,0,1,1,2,2,2,2,4,2,3,3,1,1,2,5,6,3,2,7,4,10,15,14,7,12,8,8,11,11,4,155
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),1775,2429,3343,2988,1762,1882,2041,2042,2395,2736,2971,2991,2948,3302,3926,3950,4774,1330,1711,2086,1656,2104,2345,2744,2528,3199,7907,3470,6110,4243,3928,1901,1658,2306,3211,1428,104120
ETHANOL(E100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
