"Fuel and Month Wise Data for All State (2019-2021)"\n\nFuel,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,3234,2818,3072,3135,2861,2488,2950,2752,2548,2855,3006,2342,3252,3706,6969,1999,190,1869,2447,2901,4168,5020,6150,4901,6103,11038,13675,8555,2259,7111,13920,16339,20937,22002,22832,22103,244507
DI-METHYL ETHER,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
DIESEL,301683,275943,298507,253782,253736,236605,266982,238622,209909,247595,277830,242488,291333,280635,341312,47303,19878,100756,156873,155552,184903,178811,189649,211872,205363,205088,232840,148517,59771,153341,219260,201074,178615,161428,166962,189289,7384107
DIESEL/HYBRID,7931,6210,6215,4817,3811,2165,1715,1276,1078,1497,1540,978,1398,748,597,114,0,3,1,3,42,13,7,9,9,6,0,4,3,3,3,5,0,1,2,2,42206
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,1,3,2,0,1,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,5,1,4,1,2,0,0,1,0,28
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),13458,12316,15250,11298,10245,11197,12533,13353,16199,15788,19072,17184,16951,16639,14160,981,1330,6625,7875,8710,11547,11562,13545,16040,17255,20500,29008,15632,3735,12730,29145,31793,37719,42097,46438,55135,635045
ETHANOL(E100),0,0,0,1,2,2,0,0,2,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
