"Fuel and Month Wise Data for Haryana (2019-2021)"\n\nFuel,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,525,388,503,571,469,388,460,429,440,353,438,327,470,469,672,400,0,51,130,187,357,328,593,827,797,1138,1282,1503,181,973,1209,1689,1953,2037,2281,2363,27181
DI-METHYL ETHER,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DIESEL,14004,10849,11917,13308,11276,9971,12048,10844,9725,9247,13577,11244,13314,13189,11419,3506,586,3781,7349,6719,7573,6571,7660,9711,8914,9109,10815,9587,2204,9691,8526,9303,9641,7581,8085,9449,332293
DIESEL/HYBRID,386,255,213,202,125,81,87,47,50,71,91,54,68,34,10,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1783
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,0,0,0,0,7
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),486,415,637,556,300,235,335,379,484,383,485,412,369,433,303,48,20,135,199,285,293,229,228,438,254,375,525,489,57,353,423,863,1264,1177,1482,1402,16751
ETHANOL(E100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,13,8,6,7,4,3,18,16,13,12,1,20,0,13,5,0,0,0,11,1,0,0,0,0,0,6,22,6,6,9,5,4,15,1,5,2,232
PETROL,59079,40683,50093,55567,45288,46048,55203,52578,47355,47056,87256,52886,48752,44013,49881,24278,2584,26285,44254,36697,36256,36855,51098,64464,42711,36762,44322,39582,9879,39399,31812,37951,40067,33313,53200,49941,1563448
PETROL(E20),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PETROL(E20)/CNG,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/HYBRID/CNG,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
PETROL(E20)/LPG,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
PETROL/CNG,5481,4182,3857,4701,4127,3722,4177,4131,3597,4552,5945,4584,6345,5132,4026,1136,159,1384,2525,2586,2729,2861,3705,3885,4605,3967,4423,3354,821,2551,3550,4001,3085,2105,2699,2583,127273
PETROL/HYBRID,420,333,283,351,293,325,299,338,287,330,467,243,331,265,242,25,19,214,224,249,249,250,379,465,507,336,393,366,88,245,366,493,453,355,452,424,11359
PETROL/HYBRID/CNG,3,5,3,0,2,1,1,2,0,2,1,1,0,1,0,0,1,0,3,0,3,1,2,2,1,1,4,4,0,3,1,6,8,4,3,2,71
PETROL/LPG,62,53,48,45,26,30,25,34,26,27,43,39,46,31,19,4,5,21,40,25,21,18,32,36,39,34,24,32,3,15,24,20,16,17,25,18,1023
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURE EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,80460,57172,67561,75308,61910,60805,72653,68798,61978,62033,108306,69810,69698,63582,66578,29404,3374,31871,54736,46749,47481,47114,63698,79828,57829,51728,61810,54926,13239,53242,45918,54330,56502,46590,68232,66184,2081437
