"Fuel and Month Wise Data for Assam (2022-2024)"\n\nFuel,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
NOT APPLICABLE,27,105,163,59,67,32,40,56,67,38,59,73,73,98,82,56,55,55,50,62,59,78,68,71,47,133,121,42,52,44,29,26,31,37,30,42,2227
PETROL,31677,31649,36699,33079,35286,27290,33316,33783,39660,45009,39803,42530,48758,43566,48860,40166,40575,35931,36553,36330,38077,56666,45638,43821,48496,42777,45910,45654,42309,33803,31230,34804,35938,51985,32962,29929,1420519
PETROL(E20),0,0,0,0,0,0,0,0,0,0,0,0,0,58,746,1303,1811,2111,2606,2574,2754,3827,3538,2696,3036,2929,2979,3752,3439,2806,2464,2851,2728,3992,2321,1880,59201
PETROL(E20)/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/CNG,7,3,0,4,1,3,2,4,1,3,2,5,8,6,4,12,12,14,8,7,7,11,5,6,4,6,6,7,8,6,4,10,12,24,19,14,255
PETROL/HYBRID,168,222,142,112,245,188,231,344,593,449,498,774,594,697,905,628,658,761,741,612,620,661,527,550,553,809,769,727,741,557,656,756,721,828,571,640,20248
PETROL/HYBRID/CNG,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
PETROL/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURE EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,58,260,315,354,597,807,1002,980,925,5800
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,15,24,42,43,43,25,44,27,291
Total,36759,37861,45086,39732,42251,33509,39851,40730,48217,51754,48640,51405,56709,52412,60282,49723,52538,47584,48577,48452,51620,70890,58520,55531,59959,55875,61154,57817,56146,46363,44267,48174,49062,65727,44682,40225,1798084
