"Fuel and Month Wise Data for Delhi (2025-2026)"\n\nFuel,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,2743,2010,2146,2396,2777,2401,2871,2654,2444,3357,2833,2032,3425,2616,2416,2511,2090,2367,2750,2819,368,52026
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,1197,916,1029,1019,930,813,842,804,731,1169,944,814,1300,975,1163,954,1032,952,1082,1068,249,19983
DIESEL/HYBRID,2,6,3,2,6,4,20,11,14,25,17,21,21,23,37,14,25,16,22,12,6,307
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),5672,4372,4529,3725,4054,2666,3425,3243,3564,3228,2420,1615,1424,489,889,615,847,1288,646,380,58,49149
ETHANOL(E100),7,2,2,4,3,3,3,3,2,0,2,0,0,0,0,0,0,0,0,0,0,31
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,166,28,219
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
PETROL,51767,32809,38736,34835,36036,26494,28911,24430,22833,48528,32186,11504,20198,14917,16536,15204,15932,15716,17624,15762,3354,524312
PETROL(E20),1162,1204,1921,5757,14235,15131,19155,17847,19282,41073,37568,24951,42098,30941,34838,34022,33470,32273,35173,34077,6565,482743
PETROL(E20)/CNG,1,4,8,15,14,18,36,48,90,674,2459,2812,5431,3537,5051,4905,5464,5768,5206,5274,738,47553
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,6,238,623,901,1142,514,658,620,639,649,598,913,207,7708
PETROL(E20)/HYBRID/CNG,1,0,0,1,0,1,0,1,0,0,3,7,12,3,6,3,6,1,3,0,0,48
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/CNG,6775,3323,3506,4037,3535,3594,4109,3528,3249,6590,2257,1968,2409,1049,560,381,373,400,367,326,63,52399
PETROL/HYBRID,2028,1010,1154,1381,1067,884,925,821,509,1069,425,287,646,411,387,395,330,385,332,239,74,14759
PETROL/HYBRID/CNG,24,8,12,6,9,11,14,5,6,10,2,3,7,1,3,1,1,1,0,0,0,124
PETROL/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4
PURE EV,2898,3852,5974,4976,6100,5774,6414,7647,7367,8142,6487,5614,6077,4983,7324,7657,8737,9302,10724,11267,1692,139008
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,769,656,647,701,680,580,702,589,383,683,711,663,1152,799,830,778,855,829,793,720,127,14647
Total,75046,50172,59669,58859,69447,58374,67427,61631,60480,114786,88937,53192,85343,61258,70698,68060,69801,69951,75342,73023,13529,1405025
