"Fuel and Month Wise Data for Kerala (2022-2024)"\n\nFuel,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,644,538,655,500,600,788,788,1003,928,1163,1156,1042,1105,1121,1255,947,1462,1620,1697,1817,2030,1630,1301,1149,1285,1055,974,913,1086,990,1141,1424,1672,1191,1156,920,40746
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,4465,4228,5189,4658,4323,4814,4636,5413,4635,4674,4348,4446,4526,4509,5819,3976,4443,4222,4668,4860,5412,5118,4524,4105,4921,4434,4239,4315,4427,4452,4883,4834,5209,5562,4995,4276,168558
DIESEL/HYBRID,0,0,0,0,2,5,4,18,4,19,5,11,11,5,12,11,8,5,7,6,16,16,16,18,22,20,19,38,27,27,20,24,19,19,26,22,482
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),1727,2179,3365,3379,2811,3141,2482,3609,3729,4308,4272,4642,5226,6481,8235,5636,8668,5202,5289,6102,5737,6273,6691,6281,8037,6948,10133,4764,5563,4325,4468,3936,3948,3334,2870,2023,175814
ETHANOL(E100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,10,3,6,1,4,1,1,0,0,0,0,3,1,0,0,0,3,1,3,3,2,1,3,0,2,5,1,1,1,1,1,1,3,2,0,1,65
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
PETROL,59177,51456,61399,52639,50852,54923,47850,64601,66365,53651,48935,49652,52410,45443,61393,33933,43140,42605,40518,56354,58401,42018,39943,39772,47497,40910,42344,42552,44358,41423,43585,47157,62675,50507,42029,38097,1760564
PETROL(E20),0,0,0,0,0,0,0,0,0,0,0,0,0,55,1475,1301,2253,2633,2643,4240,4541,3036,3385,3290,3776,3505,3766,3785,3995,3853,4107,4688,5909,4412,3760,3101,77509
PETROL(E20)/CNG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
