"Fuel and Month Wise Data for Jharkhand (2022-2024)"\n\nFuel,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,197,198,337,194,302,379,392,378,478,601,486,432,442,382,456,279,181,534,441,419,517,507,569,484,400,415,470,346,243,538,537,495,518,640,534,483,15204
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,2635,2940,3603,3145,2608,3176,4024,3042,2716,3032,3771,3273,3138,3475,4108,3693,3635,3668,4179,3732,3700,3454,3899,3773,3679,4112,3759,3652,3442,3911,4919,4333,3645,4670,3837,4212,130590
DIESEL/HYBRID,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,3,3,5,1,1,0,5,2,1,6,4,3,3,1,2,3,1,2,53
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),592,626,954,821,781,927,1332,1266,1202,1662,1823,1695,1288,1605,1674,1583,1591,1541,1919,1657,1916,1857,2356,2137,1696,1847,2233,1476,1619,1809,2150,1648,1619,1760,1453,1608,55723
ETHANOL(E100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,9
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
LPG ONLY,0,0,0,0,2,0,0,0,0,0,0,0,3,5,0,7,3,10,10,14,24,28,45,54,56,70,136,105,84,171,174,189,144,167,57,135,1693
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,41,36,48,22,15,24,29,35,28,48,61,78,22,69,51,40,50,34,51,31,29,41,39,65,15,29,34,21,24,39,24,40,32,27,29,83,1384
PETROL,27777,30213,41714,38542,42095,35237,34565,27539,26182,53551,42439,29212,30041,33788,41105,38266,43632,38499,34074,29706,33292,35967,66572,34310,32627,36098,39229,48456,39032,38829,38245,29316,27274,51945,64639,29690,1363698
PETROL(E20),0,0,0,0,0,0,0,0,0,0,0,0,0,11,170,309,469,442,670,666,735,852,1457,971,885,842,1062,1147,1018,995,1056,753,750,1228,1647,941,19076
PETROL(E20)/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/CNG,144,168,197,241,150,158,101,132,86,113,122,101,132,71,72,89,147,141,147,131,131,175,224,119,173,179,197,218,224,216,298,208,246,550,339,279,6419
PETROL/HYBRID,233,206,206,157,285,228,324,483,476,697,587,488,572,564,603,461,526,573,425,374,444,430,571,387,503,598,551,550,488,460,506,460,416,925,483,442,16682
PETROL/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,7
PETROL/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURE EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,142,378,546,439,629,1209,990,711,5061
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,23,19,46,36,34,44,39,37,299
Total,31619,34387,47059,43122,46238,40129,40768,32875,31169,59704,49290,35280,35641,39971,48239,44728,50235,45443,41919,36733,40793,43312,75733,42300,40039,44193,47682,56007,46344,47369,48504,37919,35309,63173,74051,38625,1615902
