"Fuel and Month Wise Data for Gujarat (2019-2021)"\n\nFuel,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
LNG,0,0,0,0,0,0,1,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8
LPG ONLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
NOT APPLICABLE,573,574,628,527,539,360,410,408,325,575,461,555,661,476,433,13,4,165,595,418,646,549,466,743,685,827,628,384,193,334,422,318,366,394,261,361,16277
PETROL,101292,93249,99427,103775,102951,88901,106626,92374,74948,156717,151111,103021,92605,96480,126937,10248,5285,53775,62432,65259,54877,96389,132416,104292,84629,86115,84905,59179,42319,70713,81642,65302,84868,96926,122895,105124,3160004
PETROL(E20),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PETROL(E20)/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,8
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/CNG,11054,11614,10295,11071,10893,8931,11462,9827,8966,15368,13179,9598,11087,8802,6693,376,274,2937,3491,3993,3671,6136,6395,5362,6504,5657,5007,3502,3338,3012,5491,4899,5335,4474,4188,4750,247632
PETROL/HYBRID,492,458,629,628,557,336,350,441,440,869,671,532,324,396,653,30,49,557,541,634,590,875,1093,990,868,823,740,544,515,624,860,634,795,1066,861,624,22089
PETROL/HYBRID/CNG,3,3,6,7,3,3,0,4,3,9,10,4,8,6,10,0,0,10,14,13,15,14,18,7,13,16,9,8,7,14,19,9,18,22,15,15,335
PETROL/LPG,4,4,5,6,3,4,7,6,4,5,4,4,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURE EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,130922,122477,127398,132639,130461,111009,140800,127281,98101,193384,183944,131008,123618,121771,156059,12125,5836,62312,84191,89908,70092,118419,154973,125589,106131,108653,106253,74166,54696,87741,117421,97360,108490,121444,145095,129679,4011446
