"Fuel and Month Wise Data for Maharashtra (2022-2024)"\n\nFuel,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,4541,3721,4477,4116,3184,3239,3272,4092,4121,4915,5192,3881,4877,4576,4733,4686,4371,4518,5027,5689,5347,6743,7219,5203,6875,6178,6011,6324,5483,5008,6185,7666,6716,9738,7402,6795,192121
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,23785,22099,27999,24237,21184,22653,22235,22756,24156,29026,27655,28143,31888,26956,29161,26650,24505,25438,21034,21205,21280,25333,24796,20778,30057,26802,28010,27041,23853,21409,24119,22867,21429,35954,26069,25921,908483
DIESEL/HYBRID,0,1,1,1,10,10,20,33,15,22,14,28,28,22,24,21,21,28,35,34,84,84,74,98,103,65,181,128,110,73,70,68,76,127,78,93,1880
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),5758,8195,12205,8184,10166,9547,9999,11361,12283,17896,15527,14847,15496,13799,19510,14593,22788,10717,12208,14350,14146,18456,21411,16698,18891,18026,29835,13906,13510,11203,12663,9390,7148,9898,6606,3899,485115
ETHANOL(E100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,24,52
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
