"Fuel and Month Wise Data for Punjab (2025-2026)"\n\nFuel,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,407,292,331,171,247,347,330,258,252,238,272,326,245,315,275,362,271,352,345,296,45,5977
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,10106,8536,9371,8586,9429,9635,10023,9147,8178,10399,10653,12979,13776,12908,13683,13603,11046,11960,12246,12108,2378,220750
DIESEL/HYBRID,15,8,9,21,42,18,41,29,42,47,40,49,59,71,62,65,58,77,78,62,15,908
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),1457,1094,1365,689,862,1104,1415,973,884,692,795,634,849,647,607,1020,807,897,902,755,146,18594
ETHANOL(E100),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,27
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PETROL,46824,42727,43675,37366,35362,28906,32429,27722,22777,47444,52211,12587,15371,12418,13627,12216,12851,13228,14439,13832,2832,540844
PETROL(E20),187,484,760,2606,6386,8878,12705,13018,12519,28597,52936,37833,45403,37429,35429,37393,34835,35847,36615,39350,7285,486495
PETROL(E20)/CNG,0,0,1,0,1,0,1,0,3,57,513,756,554,641,1235,1329,1265,1341,1422,1423,278,10820
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,166,682,1016,1492,1012,1013,975,963,1008,831,1319,243,10720
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/CNG,1224,971,1064,817,1013,990,958,821,975,1183,586,393,263,200,332,331,247,200,239,219,34,13060
PETROL/HYBRID,1286,958,974,888,734,741,771,729,586,1219,491,382,451,308,281,260,303,295,250,239,55,12201
PETROL/HYBRID/CNG,2,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
PETROL/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
PURE EV,2111,1878,3436,2679,2839,2871,3106,2702,2388,3670,2938,2691,2978,2609,4506,4282,4020,5000,5137,4647,823,67311
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,320,318,357,478,495,401,399,378,298,388,361,352,550,487,460,520,426,436,391,372,83,8270
Total,63939,57267,61345,54301,57411,53892,62181,55777,48902,94100,122478,70000,81991,69045,71510,72356,67092,70641,72896,74646,14220,1395990
