"Fuel and Month Wise Data for Odisha (2025-2026)"\n\nFuel,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,247,207,190,178,184,171,220,205,188,359,181,194,259,242,252,214,209,236,277,221,41,4475
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,7804,6584,8072,6765,7157,8032,8513,6176,6059,9296,8049,7986,8859,8224,8080,7709,8897,8327,10585,8001,1368,160543
DIESEL/HYBRID,8,10,9,18,8,13,21,19,17,26,9,9,21,15,16,22,23,19,30,20,6,339
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),1337,1142,1159,792,782,747,796,743,649,818,626,497,503,586,908,721,854,740,894,774,129,16197
ETHANOL(E100),5,2,4,6,2,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,24
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,8,52
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,250,204,267,234,259,161,105,116,156,151,213,232,226,278,257,248,216,166,163,166,35,4103
PETROL,52847,53791,60138,48912,38899,34563,28974,27202,32640,67365,23734,14340,18004,19038,20898,17635,15327,14930,13472,12077,2226,617012
PETROL(E20),2144,2339,3256,7790,14669,17273,14908,15798,22987,47713,32285,37726,49405,47009,51528,49559,41945,40995,37701,33134,6297,576461
PETROL(E20)/CNG,0,0,1,0,0,0,0,2,5,59,454,749,766,639,661,844,846,981,1014,1078,190,8289
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,3,99,616,718,851,627,718,635,668,681,601,686,107,7010
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/CNG,646,454,494,536,438,588,479,515,536,1106,281,182,169,128,105,73,81,101,85,80,17,7094
PETROL/HYBRID,909,516,611,649,535,579,547,531,508,898,239,83,108,52,84,78,62,81,70,54,11,7205
PETROL/HYBRID/CNG,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
PETROL/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
PURE EV,3554,3280,6247,5005,5648,5819,5493,5021,6267,8301,6713,7799,7891,7339,12852,10591,13946,14329,14127,13824,2656,166702
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,124,88,134,154,110,123,139,117,100,168,104,118,158,113,131,140,126,130,152,119,18,2566
Total,69875,68617,80583,71039,68691,68071,60195,56447,70115,136359,73504,70633,87222,84290,96490,88470,83200,81716,79171,70278,13109,1578075
