"Fuel and Month Wise Data for Jammu & Kashmir (2025-2026)"\n\nFuel,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,3,5,2,2,1,0,0,2,1,4,2,1,1,0,0,3,1,1,0,1,0,30
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,2302,2158,2526,2570,1840,1818,1951,1727,1676,2640,2334,2385,2663,2805,3159,2871,2439,2624,2367,2483,456,47794
DIESEL/HYBRID,3,0,5,0,0,3,9,10,8,8,6,1,4,10,5,10,14,6,13,11,1,127
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),683,615,602,490,419,381,599,469,421,585,394,382,298,377,330,335,347,331,329,323,55,8765
ETHANOL(E100),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL,9423,8161,10218,10564,7491,6481,7952,6486,6804,13943,3579,1587,1525,2222,2842,2982,2910,3268,3082,3079,602,115201
PETROL(E20),134,242,468,1967,3917,5078,6520,5800,4858,9306,8461,8804,9044,10189,12378,12305,12600,14066,13629,13795,2547,156108
PETROL(E20)/CNG,0,0,0,0,0,0,0,0,0,1,17,19,16,22,20,13,18,17,19,27,6,195
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,1,55,239,333,384,281,339,357,377,432,341,613,85,3837
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/CNG,0,3,4,8,3,8,7,4,12,18,3,0,1,1,1,1,0,0,0,0,0,74
PETROL/HYBRID,391,369,385,432,254,211,263,225,181,384,90,50,49,66,35,50,39,64,54,53,11,3656
PETROL/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURE EV,201,159,322,392,526,581,676,517,463,803,579,568,554,659,1098,1170,1171,1358,1424,1483,252,14956
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,26,20,33,22,31,18,32,12,12,24,22,19,22,20,45,30,35,48,25,20,2,518
Total,13166,11732,14565,16447,14483,14579,18009,15252,14437,27771,15726,14149,14561,16652,20252,20127,19951,22215,21283,21888,4017,351262
