"Fuel and Month Wise Data for Madhya Pradesh (2019-2021)"\n\nFuel,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,158,238,205,200,155,189,348,143,189,229,223,202,218,277,133,92,0,15,33,48,79,71,101,71,82,46,75,53,26,36,82,93,105,103,89,118,4525
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,20042,18745,19792,15818,16480,16635,22120,16350,12107,13732,19603,19074,20790,18227,18450,6879,498,10074,17296,13931,14935,12527,16132,19742,16913,13314,17618,4552,824,13762,19094,14588,12823,9605,12890,17170,533132
DIESEL/HYBRID,459,439,441,325,289,146,139,71,67,96,156,60,101,100,110,24,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3028
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),322,356,387,330,220,204,198,285,252,406,380,344,307,308,331,58,32,199,188,242,418,365,345,569,503,500,968,221,1,557,886,974,1298,1090,1688,1760,17492
ETHANOL(E100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,7,15,19,8,13,14,18,16,7,3,10,7,5,13,5,2,0,1,2,1,2,9,9,6,7,1,2,0,0,3,0,0,2,2,1,2,212
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,400,419,394,216,203,164,202,150,183,181,193,215,269,216,186,6,10,148,241,174,259,270,213,326,308,299,427,57,0,161,254,173,181,157,106,251,7612
PETROL,118954,100750,103783,104726,129348,110009,122474,78172,66213,90485,141580,133305,107999,102782,147412,89738,1858,47403,81757,83448,78408,70846,110422,151753,114033,80829,90882,32877,6450,98702,108491,75618,72300,57901,107655,118122,3337485
PETROL(E20),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PETROL(E20)/CNG,0,0,1,0,1,1,2,0,0,0,2,0,1,1,0,0,0,0,0,0,1,1,1,0,2,0,0,1,0,1,0,3,1,2,1,1,24
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,1,1,0,2,2,1,0,2,0,1,1,0,3,0,19
PETROL(E20)/LPG,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6
PETROL/CNG,660,603,601,447,535,549,861,529,657,767,968,718,789,771,780,172,5,180,388,485,585,490,761,864,733,832,1447,453,6,888,1275,1334,1331,1251,1432,1403,26550
PETROL/HYBRID,191,152,119,122,118,101,136,67,90,160,225,98,117,99,249,13,8,149,236,383,400,295,516,615,509,424,556,162,1,427,582,389,306,365,432,253,9065
PETROL/HYBRID/CNG,0,3,1,1,4,0,2,0,1,2,0,1,1,0,6,0,0,2,6,8,9,3,2,7,5,7,8,3,0,9,10,7,3,6,10,8,135
PETROL/LPG,298,388,367,214,214,199,256,165,207,228,353,211,224,187,235,70,5,65,196,233,319,258,324,455,271,325,405,89,3,237,363,379,320,253,364,378,9058
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURE EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,141491,122108,126110,122407,147580,128212,146757,95948,79973,106290,163693,154236,130821,122981,167899,97055,2416,58238,100344,98955,95416,85135,128829,174409,133366,96580,112390,38469,7311,114785,131038,93559,88671,70736,124671,139466,3948345
